5:23,"Ñàkk yar, dee;
ndof gu réy, sànku."
6:1-2,"Doom, dangaa gàddul nit bor,
dige feyal jàmbur,
saw làmmiñ yeb la cim pax,
nga keppu?"
6:3,"Yaa ngi ci sa loxoy moroom,
kon defal nii, doom, ba rëcc:
doxal tinuji ko,
raamali ko."
6:4,"Bul gëmm,
bul nelaw!"
6:5,"Dawal ni kéwél gu rëccub rëbb,
ne fërr ni picc mu raw ab fiirkat."
6:6,"Yaafus bee, xoolal xorondom,
seetal ci moom, ba muus."
6:7,"Du ku ko yilif mbaa ku koy sas,
te jiiteesu ko."
6:8,"Bu jotee mu denc ab dundam,
mu jot, mu for lekkam."
6:9,"Moo yaafus bi, foo àppal tëraay bi?
Loo deeti xaar ci yewwu?"
6:10,"Ngay dajjant aka for bët,
di tegley loxooka jaaxaan."
6:11,"Néewlee ngi lay dikkal nib sàcc,
ñàkk gànnaayul la."
6:12-14,"Ku tekkeedi te bon,
day wër di fen,
day piis, di wokkeb tànk,
di waxe baaraam,
jekkadiy xalaat, di mébét lu bon
aka yokku ay."
6:15,"Moo tax musiba di jekki dal ko,
mu jekki yàqu, ba wees paj."
6:16-19,"Juróom benn a ngii yu Aji Sax ji bañ,
ba ci juróom ñaar yu mu seexlu:
kuy daŋŋiiral,
kuy fen,
kuy rey nit ku deful dara,
kuy fexe lu bon ci xolam,
kuy gaawtuy def lu ñaaw,
seede buy fen rekk,
rawatina kuy yokku ay ci biiri bokk."
6:20,"Doom, defal li la baay sant,
te bul wacc ndigalal yaay."
6:21,"Takkal foo tollu, taf ci sa xol,
fas ko ci sa baat."
6:22,"Booy dox mu di la jiite,
nga tëdd, mu di la sàmm,
nga yewwu, mu di la waxal."
6:23,"Santaane da lay niital, ndigal leeralal la,
artookub yar di yoonu dund."
6:24,"Da lay aar ci ndaw su bon
ak jabaru jàmbur ak làmmiñam wu neex."
6:25,"Bu ko xemmeme taaram,
bumu la fiir aki lamsal."
6:26,"Dogu mburu fey nab gànc;
waaye jabaru jàmbur, bakkanu lëmm."
6:27,"Te ku ne sawara cas, tafoo,
lakk say yére."
6:28,"Ku dox ciy xal it,
say tànk ñor."
6:29,"Mooy ànd ak jabaru jàmbur,
ku ko def gis ko."
6:30,"Deesul sikk ku sàcc aw ñam,
def ci biiram ndax xiif."
6:31,"Waaye bu feeñee, fey boroom juróom ñaari yoon,
joxe alalu këram yépp."
6:32,"Njaaloo di ñàkk bopp,
kuy sànk bakkanam a koy def."
6:33,"Mbugal ak toroxte dib añam,
te gàcceem du deñ."
6:34,"Fiiraange day feesal xolu góor,
te du ñéeblu buy feyu."
6:35,"Du faale ndàmpaay,
loo ko may, may, du giif."
7:1,"Doom, sàmmal samay wax,
fonk samay santaane."
7:2,"Jëfeel samay santaane, ba dund,
jàppal samay ndigal sa fukki loxo."
7:3,"Takkal ci say waaraam,
bind ko ci sa àlluway xol."
7:4,"Safool xel mu rafet, muy sab jigéen,
te nga xejjoo dég-dég ni sa mbokk lenqe."
7:5,"Dina la aar ci jigéenu njaalookat,
bokk feneen, di wax lu neex."
7:6-7,"Damaa tollu sama palanteer,
séentu ca xarante ya,
séen ca biir téxét ya,
ku ma seetlu ca xale yu góor ya,
muy ku ñàkk bopp."
7:8,"Muy dem ba fa ndaw say taxaw, ca selebe yoon wa,
daldi wuti kër ndaw sa."
7:9,"Ngoonug suuf la, jant biy lang,
muy lëndëm di gëna guddi."
7:10,"Ndaw si jekki dajeek moom,
sol yérey gànc, lal pexeem."
7:11,"Daa xumb, të,
du toog këram."
7:12,"Ma nga ca mbedd ma, ne ca pénc ya,
ruqoo ruq, ma ngay yeeroo."
7:13-14,"Ndaw sa ne ko katam, fóon,
ne wajj, ne ko:
«Tey matal naa la ma digoon Yàlla,
yàppu bernde waa nga kër ga, saraxu cant la."
7:15,"Moo ma taxa dikk dajeek yaw.
Seet naa laa seet, ba gis la."
7:16,"Lal naa saab lal, ba mu jekk,
di malaan yu yànj, bawoo Misra."
7:17,"Lal ba, ma xeeñal, mu ne bann,
di ndàbb, cuuraay ak xas mu neex."
7:18,"Dikkal, nu baanee baane, ba bët set,
te bànneexu ci mbëggeel."
7:19,"Sama jëkkër newu fa,
daa dem yoon wu sore."
7:20,"Mbuusum xaalis la ŋàbb, yóbbu,
du ñibbisi ndare weer wi fees dell.»"
7:21,"Muy mocc aka moccaat, ba nax ko,
di wax lu neex, ba man ko."
7:22,"Waa ja jekki, topp ko,
mbete yëkk wu ñuy rendiji,
mbaa dof bu ñu jéng, di ko yari."
7:23,"Mooy picc mu tàbbi cig fiir.
Du xam ne day dee,
ba keroog fitt jam ko ci xol."
7:24,"Kon nag, samay doom, dégluleen ma,
teewluleen samay wax."
7:25,"Bu leen soosu ndaw xiir ci moy,
buleen teggi, topp ko."
7:26,"Bare na ku dee, moo ko rey,
maneesula waññ ñi mu rey ñépp."
7:27,"Këram yoonu njaniiw la,
daa bartalu, tàbbi néegi dee."
